question,intent
Who are the enemies in aftermath?,query_enemies
What foes must I defeat in aftermath?,query_enemies
List all enemies encountered during aftermath.,query_enemies
Who will I fight in aftermath?,query_enemies
What enemies do i need to defeat for aftermath,query_enemies
What items do I need for aftermath?,query_items
List necessary equipment for aftermath.,query_items
What must I bring to complete aftermath?,query_items
What are the required items for aftermath?,query_items
What do i need to bring with me for aftermath,query_items
How do I complete aftermath?,query_steps
What are the steps to finish aftermath?,query_steps
Guide me through aftermath.,query_steps
What is the process to solve aftermath?,query_steps
What are the rewards for completing aftermath?,query_rewards
What do I earn from finishing aftermath?,query_rewards
List the rewards for aftermath.,query_rewards
What can I gain by completing aftermath?,query_rewards
What are the requirements to start aftermath?,query_requirements
What do I need to begin aftermath?,query_requirements
What prerequisites are there for aftermath?,query_requirements
What must be done before starting aftermath?,query_requirements
Where does aftermath start?,query_start_point
What is the starting point for aftermath?,query_start_point
Where do I begin aftermath?,query_start_point
How do I start aftermath?,query_start_point
When was aftermath released?,query_released
What is the release date of aftermath?,query_released
When did aftermath first become available?,query_released
What year was aftermath launched?,query_released
When did aftermath release?,query_released
When did aftermath come out?,query_released
Is aftermath a members quest?,query_members
Do you need a membership for the quest aftermath?,query_members
Members needed for aftermath?,query_members
Is Membership a must for aftermath?,query_members
Who are the enemies in all fired up?,query_enemies
What foes must I defeat in all fired up?,query_enemies
List all enemies encountered during all fired up.,query_enemies
Who will I fight in all fired up?,query_enemies
What enemies do i need to defeat for all fired up,query_enemies
What items do I need for all fired up?,query_items
List necessary equipment for all fired up.,query_items
What must I bring to complete all fired up?,query_items
What are the required items for all fired up?,query_items
What do i need to bring with me for all fired up,query_items
How do I complete all fired up?,query_steps
What are the steps to finish all fired up?,query_steps
Guide me through all fired up.,query_steps
What is the process to solve all fired up?,query_steps
What are the rewards for completing all fired up?,query_rewards
What do I earn from finishing all fired up?,query_rewards
List the rewards for all fired up.,query_rewards
What can I gain by completing all fired up?,query_rewards
What are the requirements to start all fired up?,query_requirements
What do I need to begin all fired up?,query_requirements
What prerequisites are there for all fired up?,query_requirements
What must be done before starting all fired up?,query_requirements
Where does all fired up start?,query_start_point
What is the starting point for all fired up?,query_start_point
Where do I begin all fired up?,query_start_point
How do I start all fired up?,query_start_point
When was all fired up released?,query_released
What is the release date of all fired up?,query_released
When did all fired up first become available?,query_released
What year was all fired up launched?,query_released
When did all fired up release?,query_released
When did all fired up come out?,query_released
Is all fired up a members quest?,query_members
Do you need a membership for the quest all fired up?,query_members
Members needed for all fired up?,query_members
Is Membership a must for all fired up?,query_members
Who are the enemies in alpha vs omega?,query_enemies
What foes must I defeat in alpha vs omega?,query_enemies
List all enemies encountered during alpha vs omega.,query_enemies
Who will I fight in alpha vs omega?,query_enemies
What enemies do i need to defeat for alpha vs omega,query_enemies
What items do I need for alpha vs omega?,query_items
